ProductType,Category,LTVTitle,LTVFilterText,InterestOnly,LaunchDateTime,IsNew,Term,Rate,IsFixedRate,Description,OverallCost,ProductFees,Features,EarlyRepaymentCharges,Code,AIPDeadlineDateTime,WithdrawalDateTime,ProductVariant
Residential,Fixed,60% LTV | Residential Fixed Rates,60%,TRUE,2024-08-09 09:00:00,TRUE,2,4.65,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.5,1495,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKD,,,PT
Residential,Fixed,60% LTV | Residential Fixed Rates,60%,TRUE,2024-08-09 09:00:00,TRUE,2,4.69,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.5,995,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKE,,,PT
Residential,Fixed,60% LTV | Residential Fixed Rates,60%,TRUE,2024-08-09 09:00:00,TRUE,2,5.07,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.5,0,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKG,,,PT
Residential,Fixed,60% LTV | Residential Fixed Rates,60%,TRUE,2024-08-09 09:00:00,TRUE,5,4.59,TRUE, until 30/11/2029 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,6.5,995,None,"4% until 30/11/2026, then 3% until 30/11/2028, then 2% until 30/11/2029",ADKH,,,PT
Residential,Fixed,60% LTV | Residential Fixed Rates,60%,TRUE,2024-08-09 09:00:00,TRUE,5,4.79,TRUE, until 30/11/2029 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,6.5,0,None,"4% until 30/11/2026, then 3% until 30/11/2028, then 2% until 30/11/2029",ADKJ,,,PT
Residential,Fixed,75% LTV | Residential Fixed Rates,75%,TRUE,2024-08-09 09:00:00,TRUE,2,4.82,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.5,995,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKK,,,PT
Residential,Fixed,75% LTV | Residential Fixed Rates,75%,TRUE,2024-08-09 09:00:00,TRUE,2,5.19,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.5,0,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKL,,,PT
Residential,Fixed,75% LTV | Residential Fixed Rates,75%,TRUE,2024-08-09 09:00:00,TRUE,5,4.72,TRUE, until 30/11/2029 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,6.5,995,None,"4% until 30/11/2026, then 3% until 30/11/2028, then 2% until 30/11/2029",ADKN,,,PT
Residential,Fixed,75% LTV | Residential Fixed Rates,75%,TRUE,2024-08-09 09:00:00,TRUE,5,4.89,TRUE, until 30/11/2029 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,6.5,0,None,"4% until 30/11/2026, then 3% until 30/11/2028, then 2% until 30/11/2029",ADKP,,,PT
Residential,Fixed,85% LTV | Residential Fixed Rates,85%,TRUE,2024-08-09 09:00:00,TRUE,2,5.19,TRUE, until 30/11/2026 followed by our Standard Variable Rate for the rest of the mortgage term. This is currently 8.04% variable,7.6,995,None,"3% until 30/11/2025, then 2% until 30/11/2026",ADKQ,,,PT
